,region,child_mortality,new_born,crime,disable,morbidity,poverty_percent,welfare_expense_share,per_capita,real_income,formal_wage_paid,real_pay,poor_children,poor_pensioners,poor_employable,Living_Area_Per_Member,Poor_Condition,grp,self-produced_good,retail,drugs,alcoholism,workers,population,pension_for_old,social_pension,number_of_children,number_of_pensioners,number_able_bodied,without_work,housing_amenities
0,Алтайский край,5.925576805671055,9.684143614326002,13.557761975194328,78.08105428527584,10279.519,17.5,29.675,23192.25,98.69999999999999,26574.0,105.39999999999999,37.55,6.15,56.300000000000004,18.0,2.2666666666666666,260336.07499999998,353.47939247681893,156351.4,14.680000000000001,82.1,80.28,2249702.2,14622.460000000001,9995.68,19.0,27.1,53.9,6.9,48.258
1,Амурская область,5.189190920429171,10.527970341588652,14.957813911079239,83.64249738278957,8827.875,15.8,23.700000000000003,32238.25,101.375,44836.75,107.175,38.2,5.625,56.175000000000004,17.3,2.5666666666666664,471565.625,406.40442991917007,233941.4,20.36,86.32000000000001,85.58000000000001,786499.2,16258.98,10538.58,20.36,22.74,56.92,10.06,56.072
2,Архангельская область,4.8043841551683375,9.755236874891478,12.20706561970816,80.29364110747943,0.0,13.55,23.200000000000003,34653.25,99.9,49895.5,104.8,35.199999999999996,7.0249999999999995,57.8,16.9,2.6666666666666665,721405.7250000001,1177.4569462877948,242743.6,7.139999999999999,77.52000000000001,82.86,1073211.2,19491.620000000003,10790.18,18.860000000000003,26.360000000000003,54.779999999999994,8.379999999999999,53.394000000000005
3,Астраханская область,5.745306765575043,11.484549877410146,10.10726914891481,44.34770320459799,6430.322000000001,15.425,27.824999999999996,24181.0,98.875,34551.75,105.675,40.175,4.9,54.9,19.2,2.1,532061.75,790.1871934314174,176863.0,0.21999999999999997,17.08,83.10000000000001,987793.2,14195.140000000003,9923.48,20.439999999999998,24.14,55.42,9.18,60.581999999999994
4,Белгородская область,4.274275960030048,8.661738568803496,5.203892934849261,133.45136935169117,8218.121,7.575,15.475,31578.25,99.125,33243.75,105.025,22.049999999999997,6.175000000000001,21.775,17.8,1.7666666666666668,598089.375,1156.4788585561423,229457.6,3.12,41.58,87.75999999999999,1551543.4,15725.88,9221.64,16.839999999999996,27.560000000000002,55.6,3.28,78.66799999999999
5,Брянская область,4.670764558599354,8.542804015178255,8.112670553328716,89.64706444080957,8380.19,13.799999999999999,23.049999999999997,27164.75,99.575,28448.25,104.275,41.375,3.875,54.775,24.1,0.3,316206.125,426.2437114155568,222380.4,8.62,70.5,77.8,1198313.0,15474.34,8858.38,17.04,27.76,55.220000000000006,4.66,67.372
6,Владимирская область,5.7882105104055155,8.265263194612183,7.940960337079401,91.31474060856252,10219.806999999999,12.85,24.2,24593.25,99.30000000000001,31437.75,105.0,39.5,7.225,53.275000000000006,16.1,1.3333333333333333,369975.85,752.0047018109875,175641.6,8.379999999999999,76.97999999999999,84.94000000000001,1380439.6,15624.36,9479.2,16.580000000000002,29.179999999999996,54.239999999999995,6.0,59.275999999999996
7,Волгоградская область,4.834489691184308,8.583599682434455,7.841070344578251,68.96418684253925,6906.853,12.95,24.5,23468.0,99.64999999999999,32047.25,104.2,39.425,6.225,54.3,17.9,2.6,371060.22500000003,757.1958201195512,165751.0,7.9799999999999995,80.06,79.8,2537113.4,15061.3,9743.560000000001,17.160000000000004,27.279999999999994,55.580000000000005,4.42,71.83399999999999
8,Вологодская область,5.673227958389939,9.966710954099803,11.519442961609826,83.77483863513498,10204.027999999998,13.274999999999999,26.375,27689.5,98.70000000000002,37259.75,106.35,39.325,5.575000000000001,55.074999999999996,16.9,1.5999999999999999,517670.49999999994,1237.327595205618,173184.2,6.419999999999999,49.72,83.0,1167184.0,16360.5,10338.1,19.360000000000003,26.32,54.32000000000001,7.76,47.986
9,Воронежская область,4.337490779643618,8.662380130410268,6.387693048313532,92.80137336605155,5714.238,8.825,21.075000000000003,30971.75,98.475,32305.25,104.52499999999999,36.225,5.4,58.400000000000006,19.9,1.7333333333333334,418233.225,525.1832871633744,251843.6,18.540000000000003,72.66,85.6,2336122.8,14883.960000000001,8993.820000000002,15.739999999999998,28.72,55.54,5.92,74.36800000000001
