region,child_mortality,new_born,crime,disable,morbidity,poverty_percent,welfare_expense_share,per_capita,real_income,formal_wage_paid,real_pay,poor_children,poor_pensioners,poor_employable,Living_Area_Per_Member,Poor_Condition,grp,self-produced_good,retail,drugs,alcoholism,workers,population,pension_for_old,social_pension,number_of_children,number_of_pensioners,number_able_bodied,without_work,housing_amenities,Cluster
Алтайский край,5.925576805671055,9.684143614326002,13.557761975194328,78.08105428527584,10279.519,17.5,29.675,28.245255616686105,98.7,25.392790851562445,105.4,37.55,6.15,56.3,18.0,2.2666666666666666,260336.075,353.47939247681893,38.41442590664359,14.68,82.1,80.28,2249702.2,53.588624411338934,60.58803063200019,19.0,27.1,53.9,6.9,48.258,1
Амурская область,5.189190920429171,10.527970341588652,14.95781391107924,83.64249738278957,8827.875,15.8,23.700000000000003,39.26215058412318,101.375,42.84376515442885,107.175,38.2,5.625,56.175,17.3,2.5666666666666664,471565.625,406.40442991917007,57.47773653959267,20.36,86.32000000000001,85.58000000000001,786499.2,59.58616898466275,63.878776417190686,20.36,22.74,56.92,10.06,56.072,1
Архангельская область,4.8043841551683375,9.755236874891478,12.20706561970816,80.29364110747943,0.0,13.55,23.200000000000003,42.20331809975003,99.9,47.6776546976042,104.8,35.2,7.025,57.8,16.9,2.6666666666666665,721405.7250000001,1177.4569462877948,59.64037441629514,7.139999999999999,77.52000000000001,82.86,1073211.2,71.43319956755172,65.40383009107893,18.860000000000003,26.360000000000003,54.78,8.379999999999999,53.394000000000005,1
Астраханская область,5.745306765575043,11.484549877410146,10.10726914891481,44.34770320459799,6430.322000000001,15.425,27.825,29.44942927344637,98.875,33.01593141060709,105.675,40.175,4.9,54.9,19.2,2.1,532061.75,790.1871934314174,43.453980003547805,0.2199999999999999,17.08,83.10000000000001,987793.2,52.022575266157276,60.150395992672955,20.44,24.14,55.42,9.18,60.582,1
Белгородская область,4.274275960030048,8.661738568803496,5.203892934849261,133.45136935169117,8218.121,7.575,15.475,38.45835325065994,99.125,31.766071757041807,105.025,22.05,6.175000000000001,21.775,17.8,1.7666666666666668,598089.375,1156.4788585561423,56.37609879998683,3.12,41.58,87.75999999999999,1551543.4,57.63245560991699,55.896247858802816,16.839999999999996,27.56,55.6,3.28,78.66799999999999,1
Брянская область,4.670764558599354,8.542804015178255,8.112670553328716,89.64706444080957,8380.19,13.8,23.05,33.083263051811436,99.575,27.183730802399385,104.275,41.375,3.875,54.775,24.1,0.3,316206.125,426.2437114155568,54.63728114292397,8.62,70.5,77.8,1198313.0,56.71060780972276,53.6943758493567,17.04,27.76,55.220000000000006,4.66,67.372,1
Владимирская область,5.788210510405516,8.265263194612183,7.940960337079401,91.31474060856252,10219.807,12.85,24.2,29.95149813817398,99.3,30.04034810693562,105.0,39.5,7.225,53.275000000000006,16.1,1.3333333333333333,369975.85,752.0047018109875,43.153890718754866,8.379999999999999,76.97999999999999,84.94000000000001,1380439.6,57.2604034962344,57.45742760541116,16.580000000000002,29.18,54.24,6.0,59.276,1
Волгоградская область,4.834489691184308,8.583599682434455,7.841070344578251,68.96418684253925,6906.853,12.95,24.5,28.581084578356542,99.65,30.622755950091612,104.2,39.425,6.225,54.3,17.9,2.6,371060.225,757.1958201195512,40.72384071042588,7.979999999999999,80.06,79.8,2537113.4,55.196892236087436,59.05982501888133,17.160000000000004,27.279999999999998,55.580000000000005,4.42,71.83399999999999,1
Вологодская область,5.673227958389939,9.966710954099804,11.519442961609826,83.77483863513498,10204.027999999998,13.275,26.375,33.7223428256521,98.70000000000002,35.6035613355725,106.35,39.325,5.575000000000001,55.075,16.9,1.6,517670.5,1237.327595205618,42.550125033107115,6.419999999999999,49.72,83.0,1167184.0,59.958221098345334,62.663582615357946,19.360000000000003,26.32,54.32000000000001,7.76,47.986,1
Воронежская область,4.337490779643618,8.662380130410268,6.387693048313532,92.80137336605156,5714.238,8.825,21.075000000000003,37.719712216197124,98.475,30.869287900106784,104.525,36.225,5.4,58.400000000000006,19.9,1.7333333333333334,418233.225,525.1832871633744,61.87617963294466,18.540000000000003,72.66,85.6,2336122.8,54.54697377824198,54.515334790499104,15.739999999999998,28.72,55.54,5.92,74.36800000000001,1
