,0
0,Республика Адыгея
1,Республика Алтай
2,Республика Башкортостан
3,Республика Бурятия
4,Республика Дагестан
5,Донецкая Народная Республика
6,Республика Ингушетия
7,Кабардино-Балкарская Республика
8,Республика Калмыкия
9,Карачаево-Черкесская Республика
10,Республика Карелия
11,Республика Коми
12,Республика Крым[7]
13,Луганская Народная Республика
14,Республика Марий Эл
15,Республика Мордовия
16,Республика Саха (Якутия)
17,Республика Северная Осетия — Алания
18,Республика Татарстан
19,Республика Тыва
20,Удмуртская Республика
21,Республика Хакасия
22,Чеченская Республика
23,Чувашская Республика — Чувашия
24,Края
25,Алтайский край
26,Забайкальский край
27,Камчатский край
28,Краснодарский край
29,Красноярский край
30,Пермский край
31,Приморский край
32,Ставропольский край
33,Хабаровский край
34,Области
35,Амурская область
36,Архангельская область[11]
37,Астраханская область
38,Белгородская область
39,Брянская область
40,Владимирская область
41,Волгоградская область
42,Вологодская область
43,Воронежская область
44,Запорожская область
45,Ивановская область
46,Иркутская область
47,Калининградская область
48,Калужская область
49,Кемеровская область — Кузбасс[12]
50,Кировская область
51,Костромская область
52,Курганская область
53,Курская область
54,Ленинградская область
55,Липецкая область
56,Магаданская область
57,Московская область
58,Мурманская область
59,Нижегородская область
60,Новгородская область
61,Новосибирская область
62,Омская область
63,Оренбургская область
64,Орловская область
65,Пензенская область
66,Псковская область
67,Ростовская область
68,Рязанская область
69,Самарская область
70,Саратовская область
71,Сахалинская область
72,Свердловская область
73,Смоленская область
74,Тамбовская область
75,Тверская область
76,Томская область
77,Тульская область
78,Тюменская область[14]
79,Ульяновская область
80,Херсонская область
81,Челябинская область
82,Ярославская область
83,Города федерального значения
84,Москва
85,Санкт-Петербург
86,Севастополь[7]
87,Автономная область
88,Еврейская АО
89,Автономные округа
90,Ненецкий АО[11]
91,Ханты-Мансийский АО — Югра[14]
92,Чукотский АО
93,Ямало-Ненецкий АО[14]
